#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Mar 23 11:46:55 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       extension8bit_map.ncd
#OUTPUT FILE:      extension8bit_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P26,x<2>,IOB,IO_L02P_2/DOUT/BUSY,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P27,,DIFFS,IO_L02N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,,,GND,,,,,,,,,,,,
P30,b<4>,IBUF,IP/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P31,,,VCCO_2,,,2,,,,,2.50,,,,
P32,x<4>,IOB,IO_L03P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P33,b<3>,IBUF,IO_L03N_2/D6/GCLK13,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P34,x<1>,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P35,x<3>,IOB,IO_L04P_2/D4/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P36,,DIFFS,IO_L04N_2/D3/GCLK15,UNUSED,,2,,,,,,,,,
P37,,,GND,,,,,,,,,,,,
P38,,DIFFMI,IP_L05P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
P39,,DIFFSI,IP_L05N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P40,x<5>,IOB,IO_L06P_2/D2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P41,b<2>,IBUF,IO_L06N_2/D1/GCLK3,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P42,x<10>,IOB,IO/M1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P43,x<6>,IOB,IO_L07P_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P44,x<8>,IOB,IO_L07N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P45,,,VCCO_2,,,2,,,,,2.50,,,,
P46,,,VCCAUX,,,,,,,,2.5,,,,
P47,x<13>,IOB,IO_L08P_2/VS2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P48,x<15>,IOB,IO_L08N_2/VS1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P49,x<7>,IOB,IO_L09P_2/VS0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P50,b<5>,IBUF,IO_L09N_2/CCLK,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P51,,,DONE,,,,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,b<0>,IBUF,IO_L01P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P54,b<1>,IBUF,IO_L01N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P55,,,VCCO_1,,,1,,,,,2.50,,,,
P56,,,VCCINT,,,,,,,,1.2,,,,
P57,b<6>,IBUF,IO_L02P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P58,x<9>,IOB,IO_L02N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P59,,,GND,,,,,,,,,,,,
P60,x<12>,IOB,IO_L03P_1/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P61,x<11>,IOB,IO_L03N_1/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P62,x<14>,IOB,IO_L04P_1/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P63,b<7>,IBUF,IO_L04N_1/RHCLK3/TRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P64,,,GND,,,,,,,,,,,,
P65,a<5>,IBUF,IO_L05P_1/RHCLK4/IRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P66,a<3>,IBUF,IO_L05N_1/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P67,a<0>,IBUF,IO_L06P_1/RHCLK6,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P68,a<1>,IBUF,IO_L06N_1/RHCLK7,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P69,a<4>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P70,a<2>,IBUF,IO_L07P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P71,a<6>,IBUF,IO_L07N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P72,,,GND,,,,,,,,,,,,
P73,,,VCCO_1,,,1,,,,,2.50,,,,
P74,,,VCCAUX,,,,,,,,2.5,,,,
P75,,,TMS,,,,,,,,,,,,
P76,,,TDO,,,,,,,,,,,,
P77,,,TCK,,,,,,,,,,,,
P78,a<7>,IBUF,IO_L01P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P79,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,,,GND,,,,,,,,,,,,
P82,,,VCCO_0,,,0,,,,,2.50,,,,
P83,,DIFFM,IO_L02P_0/GCLK4,UNUSED,,0,,,,,,,,,
P84,,DIFFS,IO_L02N_0/GCLK5,UNUSED,,0,,,,,,,,,
P85,,DIFFM,IO_L03P_0/GCLK6,UNUSED,,0,,,,,,,,,
P86,,DIFFS,IO_L03N_0/GCLK7,UNUSED,,0,,,,,,,,,
P87,,,GND,,,,,,,,,,,,
P88,,DIFFMI,IP_L04P_0/GCLK8,UNUSED,,0,,,,,,,,,
P89,,DIFFSI,IP_L04N_0/GCLK9,UNUSED,,0,,,,,,,,,
P90,,DIFFM,IO_L05P_0/GCLK10,UNUSED,,0,,,,,,,,,
P91,,DIFFS,IO_L05N_0/GCLK11,UNUSED,,0,,,,,,,,,
P92,,IOB,IO,UNUSED,,0,,,,,,,,,
P93,,,GND,,,,,,,,,,,,
P94,,DIFFM,IO_L06P_0,UNUSED,,0,,,,,,,,,
P95,,DIFFS,IO_L06N_0/VREF_0,UNUSED,,0,,,,,,,,,
P96,,,VCCAUX,,,,,,,,2.5,,,,
P97,,,VCCO_0,,,0,,,,,2.50,,,,
P98,,DIFFM,IO_L07P_0,UNUSED,,0,,,,,,,,,
P99,,DIFFS,IO_L07N_0/HSWAP,UNUSED,,0,,,,,,,,,
P100,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
